时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2017-06-29,四	77.92		80.60		77.92		79.80		+2.57%		3.44%		1,165,008	92,537,104	7.77		3307		

2017-06-30,五	79.50		84.56		78.51		79.74		-0.08%		7.58%		2,367,410	193,496,020	15.78		6397		

2017-07-03,一	79.88		80.00		76.66		77.43		-2.90%		4.19%		1,980,362	153,621,990	13.20		5365		

2017-07-04,二	77.60		80.00		76.67		79.61		+2.82%		4.30%		1,619,530	126,618,311	10.80		4538		

2017-07-05,三	79.80		81.13		77.90		79.61		+0.00%		4.06%		1,730,673	137,445,910	11.54		5003		

2017-07-06,四	79.70		83.20		78.58		83.04		+4.31%		5.80%		1,767,605	143,130,570	11.78		5114		

2017-07-07,五	82.98		84.48		81.22		82.84		-0.24%		3.93%		1,504,315	125,211,107	10.03		4881		

2017-07-10,一	80.81		82.00		74.56		74.56		-10.00%		8.98%		2,910,456	222,999,840	19.40		8248		

2017-07-11,二	73.82		75.68		71.25		72.99		-2.11%		5.94%		2,313,416	170,249,610	15.42		6028		

2017-07-12,三	72.69		75.20		71.45		75.09		+2.88%		5.14%		1,346,577	99,032,211	8.98		3841		

2017-07-13,四	74.00		75.06		71.98		73.79		-1.73%		4.10%		1,063,577	77,852,835	7.09		2772		

2017-07-14,五	73.80		74.40		70.48		71.75		-2.76%		5.31%		1,485,060	106,737,674	9.90		3779		

2017-07-17,一	70.01		70.01		64.58		64.58		-9.99%		7.57%		1,586,086	105,555,212	10.57		3696		

2017-07-18,二	63.50		64.58		60.80		62.04		-3.93%		5.85%		2,215,017	138,525,790	14.77		4126		

2017-07-19,三	62.00		63.68		60.30		63.06		+1.64%		5.45%		1,203,588	74,942,887	8.02		2848		

2017-07-20,四	63.13		64.20		61.82		62.23		-1.32%		3.77%		1,318,196	82,667,651	8.79		2644		

2017-07-21,五	62.23		62.75		61.50		61.92		-0.50%		2.01%		527,377		32,746,760	3.52		1319		

2017-07-24,一	61.50		64.52		59.30		63.53		+2.60%		8.43%		1,405,366	87,166,055	9.37		2954		

2017-07-25,二	63.21		64.04		62.50		63.82		+0.46%		2.42%		559,803		35,599,886	3.73		1726		

2017-07-26,三	63.87		63.88		61.02		62.15		-2.62%		4.48%		615,607		38,492,793	4.10		1786		

2017-07-27,四	62.25		66.60		60.61		64.21		+3.31%		9.64%		946,213		60,391,501	6.31		2671		

2017-07-28,五	63.70		65.50		63.70		64.79		+0.90%		2.80%		727,100		47,129,087	4.85		1938		

2017-07-31,一	64.66		64.78		62.50		63.83		-1.48%		3.52%		608,613		38,813,366	4.06		1293		

2017-08-01,二	62.82		64.50		62.60		63.85		+0.03%		2.98%		530,600		33,647,609	3.54		1280		

2017-08-02,三	63.85		63.89		62.60		62.66		-1.86%		2.02%		439,900		27,719,411	2.93		1116		

2017-08-03,四	61.70		63.68		61.64		62.99		+0.53%		3.26%		509,300		32,037,730	3.40		1186		

2017-08-04,五	62.90		63.25		61.80		61.95		-1.65%		2.30%		284,200		17,723,589	1.89		927		

2017-08-07,一	61.95		62.75		61.12		61.84		-0.18%		2.63%		258,800		16,077,921	1.73		701		

2017-08-08,二	61.84		62.20		61.50		62.03		+0.31%		1.13%		324,583		20,070,212	2.16		754		

2017-08-09,三	61.61		61.92		61.19		61.77		-0.42%		1.18%		302,100		18,603,575	2.01		729		

2017-08-10,四	61.99		63.75		61.60		62.79		+1.65%		3.48%		729,206		45,784,527	4.86		1682		

2017-08-11,五	62.11		62.96		59.87		60.43		-3.76%		4.92%		635,108		38,871,455	4.23		1592		

2017-08-14,一	60.40		61.40		60.10		60.67		+0.40%		2.15%		466,780		28,364,419	3.11		1152		

2017-08-15,二	60.99		61.27		60.01		61.13		+0.76%		2.08%		685,383		41,645,871	4.57		1405		

2017-08-16,三	61.18		65.20		60.85		64.25		+5.10%		7.12%		1,135,751	71,957,150	7.57		2595		

2017-08-17,四	64.00		64.25		63.00		63.60		-1.01%		1.95%		641,813		40,746,509	4.28		1478		

2017-08-18,五	63.03		63.76		61.22		61.45		-3.38%		3.99%		712,094		44,400,349	4.75		1849		

2017-08-21,一	59.03		61.50		58.10		60.24		-1.97%		5.53%		1,408,007	83,646,232	9.39		2878		

2017-08-22,二	59.51		60.38		59.20		59.69		-0.91%		1.96%		494,788		29,583,630	3.30		1397		

2017-08-23,三	59.76		60.20		59.20		59.55		-0.23%		1.68%		295,488		17,640,824	1.97		920		

