+9.99
38.30			38.30			38.30			+9.99			0.00			4,500			0.030			5			+10.00
42.13			42.13			42.13			+10.00			0.00			3,000			0.020			5			+9.99
46.34			46.34			46.34			+9.99			0.00			2,200			0.015			4			+9.99
50.97			50.97			50.97			+9.99			0.00			17,300			0.115			32			+10.01
56.07			56.07			56.07			+10.01			0.00			63,900			0.426			91			+10.01
61.68			61.68			60.06			+10.01			2.89			1,367,425			9.12			500			+10.00
64.00			67.85			59.58			+10.00			13.41			8,893,739			59.29			2881			-9.93
65.20			67.00			61.07			-9.93			8.74			6,161,425			41.08			2940			+2.14
60.59			65.00			60.59			+2.14			7.22			4,324,494			28.83			2714			+0.14
60.20			63.74			58.05			+0.14			9.12			3,299,422			22.00			2481			+3.86
61.99			67.00			61.49			+3.86			8.81			3,822,184			25.48			2593			-1.14
63.82			66.13			63.20			-1.14			4.51			3,095,250			20.64			2527			+10.00
64.50			70.60			63.88			+10.00			10.47			4,467,041			29.78			2179			-4.07
72.85			72.85			67.63			-4.07			7.39			5,036,802			33.58			2637			-1.21
67.10			68.99			65.60			-1.21			5.01			3,307,176			22.05			2277			+1.78
66.80			68.75			64.66			+1.78			6.11			4,071,265			27.14			2525			-3.58
66.78			68.00			63.01			-3.58			7.33			3,486,148			23.24			2556			-4.74
64.81			65.90			62.20			-4.74			5.64			2,101,472			14.01			2087			-0.93
61.25			63.97			61.19			-0.93			4.44			1,671,182			11.14			1609			+3.32
62.50			65.10			62.06			+3.32			4.91			1,906,661			12.71			1987			-0.89
64.60			66.96			63.01			-0.89			6.17			2,504,013			16.69			2381			+6.68
63.40			68.68			62.50			+6.68			9.74			3,222,492			21.48			2468			+0.83
67.95			68.40			66.00			+0.83			3.55			2,752,709			18.35			2249			-1.52
67.90			68.97			66.72			-1.52			3.30			1,935,236			12.90			1926			+5.62
66.95			71.17			65.59			+5.62			8.30			2,410,571			16.07			2085			-1.80
70.30			71.28			69.24			-1.80			2.87			1,904,959			12.70			2215			-2.75
68.79			69.77			66.83			-2.75			4.22			1,515,248			10.10			1563			-0.97
68.27			68.99			67.00			-0.97			2.94			903,783			6.03			1286			-6.70
67.20			67.79			61.00			-6.70			10.11			2,088,733			13.92			2054			-4.45
61.78			63.52			58.00			-4.45			8.81			1,541,264			10.28			1681			+3.93
59.85			62.44			58.20			+3.93			7.08			1,203,380			8.02			1448			-0.47
62.00			62.54			60.11			-0.47			3.91			1,254,857			8.37			1839			+2.41
62.40			64.25			61.93			+2.41			3.75			1,309,169			8.73			1595			+1.44
65.14			68.95			63.41			+1.44			8.74			2,078,081			13.85			1712			-2.41
63.00			65.80			62.50			-2.41			5.13			1,734,064			11.56			1571			+5.67
62.22			67.30			61.30			+5.67			9.56			1,318,600			8.79			1526			+3.21
68.05			69.96			67.27			+3.21			4.06			1,815,119			12.10			1732			-0.47
67.51			68.95			66.80			-0.47			3.14			1,240,400			8.27			1383			+4.65
68.13			71.60			68.13			+4.65			5.09			1,915,069			12.77			1778			-5.46
70.50			71.27			66.92			-5.46			6.10			2,062,237			13.75			1850			+7.06
66.89			74.10			66.65			+7.06			11.05			1,848,498			12.32			1626			-4.52
70.35			72.17			68.66			-4.52			4.86			1,445,829			9.64			1578			+6.02
